no     module           Trc color   TOF    lambda   count rate    pos_x    pos_y    pos_z     dir_x     dir_y     dir_z     sp_x sp_y sp_z
 1 Source and Window   : T     0    4.297  1.49709  4.308e+005    0.0000   0.6190  -2.2611   0.999996  0.001227 -0.002453    0.0  0.0  1.0
 2 Bender              : T     0    4.297  1.49709  4.308e+005    0.0000   0.6190  -2.2611   0.999996  0.001227 -0.002453    0.0  0.0  1.0
 2 Bender              : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 3 monitor1            : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 3 monitor1            : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 4 monitor1            : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 4 monitor1            : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    5.164  1.49709  4.056e+005   -0.0000   1.0156  -2.1761   0.999993  0.002649  0.002461    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    5.217  1.49709  4.056e+005    4.0000   1.0527  -2.1416   0.999993  0.002649  0.002461    0.0  0.0  1.0
 6 Space               : T     0    5.217  1.49709  4.056e+005    4.0000   1.0527  -2.1416   0.999993  0.002649  0.002461    0.0  0.0  1.0
 6 Space               : T     0    5.959  1.49709  4.056e+005    0.0000   1.5720  -1.6595   0.999993  0.002649  0.002459    0.0  0.0  1.0
 7 writeout            : T     0    5.959  1.49709  4.056e+005    0.0000   1.5720  -1.6595   0.999993  0.002649  0.002459    0.0  0.0  1.0
 7 writeout            : T     0    5.959  1.49709  4.056e+005    0.0000   1.5720  -1.6595   0.999993  0.002649  0.002459    0.0  0.0  1.0
