average	SD
5.379971e+003	3.680168e+000
4.999990e+003	2.698452e+000
2.000293e+002	2.868336e+000
1.799522e+002	2.814514e+000
-1.408681e-003	6.712094e-003
-6.774330e-005	4.241304e-003
-5.783644e-011	1.992782e-009
0.000000e+000	0.000000e+000
-2.804611e-011	1.489582e-009
4.097965e-013	9.584616e-010
-3.020013e-011	9.104304e-010
-5.783644e-011	1.991579e-009
0.000000e+000	0.000000e+000
0.000000e+000	1.482320e-009
0.000000e+000	9.598465e-010
0.000000e+000	8.948012e-010
0.000000e+000	1.979709e-009
