no     module           Trc color   TOF    lambda   count rate    pos_x    pos_y    pos_z     dir_x     dir_y     dir_z     sp_x sp_y sp_z
 1 Source and Window   : T     0    4.399  1.32832  1.260e+004    0.0000  -1.3396  -1.3487   0.999998  0.000930 -0.001481    0.0  0.0  1.0
 2 Bender              : T     0    4.399  1.32832  1.260e+004    0.0000  -1.3396  -1.3487   0.999998  0.000930 -0.001481    0.0  0.0  1.0
 2 Bender              : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 3 monitor1            : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 3 monitor1            : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 4 monitor1            : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 4 monitor1            : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    5.168  1.32832  1.145e+004   -0.0000  -1.8700  -1.6880   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    5.215  1.32832  1.145e+004    4.0000  -1.9296  -1.7087   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 6 Space               : T     0    5.215  1.32832  1.145e+004    4.0000  -1.9296  -1.7087   0.999990 -0.004260 -0.001481    0.0  0.0  1.0
 6 Space               : T     0    5.873  1.32832  1.145e+004    0.0000  -2.7646  -1.9993   0.999990 -0.004260 -0.001483    0.0  0.0  1.0
 7 writeout            : T     0    5.873  1.32832  1.145e+004    0.0000  -2.7646  -1.9993   0.999990 -0.004260 -0.001483    0.0  0.0  1.0
 7 writeout            : T     0    5.873  1.32832  1.145e+004    0.0000  -2.7646  -1.9993   0.999990 -0.004260 -0.001483    0.0  0.0  1.0
