no     module           Trc color   TOF    lambda   count rate    pos_x    pos_y    pos_z     dir_x     dir_y     dir_z     sp_x sp_y sp_z
 1 Source and Window   : T     0    4.141  1.47238  4.871e+005    0.0000   0.2534  -0.9116   0.999999  0.001496 -0.000527    0.0  0.0  1.0
 2 Bender              : T     0    4.141  1.47238  4.871e+005    0.0000   0.2534  -0.9116   0.999999  0.001496 -0.000527    0.0  0.0  1.0
 2 Bender              : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 3 monitor1            : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 3 monitor1            : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 4 monitor1            : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 4 monitor1            : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    4.994  1.47238  4.689e+005   -0.0000   0.4054  -1.0323   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 5 Fermi-Chopper       : T     0    5.046  1.47238  4.689e+005    4.0000   0.4525  -1.0396   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 6 Space               : T     0    5.046  1.47238  4.689e+005    4.0000   0.4525  -1.0396   0.999994  0.003366 -0.000527    0.0  0.0  1.0
 6 Space               : T     0    5.775  1.47238  4.689e+005    0.0000   1.1123  -1.1431   0.999994  0.003366 -0.000529    0.0  0.0  1.0
 7 writeout            : T     0    5.775  1.47238  4.689e+005    0.0000   1.1123  -1.1431   0.999994  0.003366 -0.000529    0.0  0.0  1.0
 7 writeout            : T     0    5.775  1.47238  4.689e+005    0.0000   1.1123  -1.1431   0.999994  0.003366 -0.000529    0.0  0.0  1.0
