# -----------------------------
# ILL cold source (Yellow Book)
# -----------------------------
#
#lambda	brilliance
# [Å]   [n/(s cm² str Å)] 
#
0.5000	2.0000e+11
0.6000	3.1700e+11
0.7000	4.6600e+11
0.8000	6.4900e+11
0.9000	8.5400e+11
1.0000	1.0500e+12
1.1000	1.2500e+12
1.2000	1.4800e+12
1.3000	1.6900e+12
1.4000	1.8900e+12
1.5000	2.1100e+12
1.6000	2.3000e+12
1.7000	2.4100e+12
1.8000	2.5100e+12
1.9000	2.5700e+12
2.0000	2.5800e+12
2.1000	2.5800e+12
2.2000	2.5500e+12
2.3000	2.5200e+12
2.4000	2.4800e+12
2.5000	2.4400e+12
2.6000	2.4000e+12
2.8000	2.3000e+12
3.0000	2.1800e+12
3.2000	2.0500e+12
3.4000	1.9300e+12
3.6000	1.8400e+12
3.8000	1.6900e+12
4.0000	1.5600e+12
4.2000	1.4300e+12
4.5000	1.2800e+12
5.0000	1.0100e+12
5.5000	7.5500e+11
6.0000	5.6800e+11
6.5000	4.3400e+11
7.0000	3.3800e+11
7.5000	2.6200e+11
8.0000	2.0600e+11
8.5000	1.5700e+11
9.0000	1.1900e+11
9.5000	9.3400e+10
10.000	7.2500e+10
11.000	4.5800e+10
12.000	3.2100e+10
13.000	2.3000e+10
14.000	1.6900e+10
15.000	1.2600e+10
16.000	9.6600e+09
18.000	5.5400e+09
20.000	3.5000e+09
22.000	2.4000e+09
25.000	1.3100e+09





