# x[m] 	 width[m] 	 height[m] 
 0.000000 	 0.082066 	 0.164121 
 0.500000 	 0.080388 	 0.160765 
 1.000000 	 0.078632 	 0.157253 
 1.500000 	 0.076793 	 0.153573 
 2.000000 	 0.074863 	 0.149714 
 2.500000 	 0.072836 	 0.145660 
 3.000000 	 0.070704 	 0.141396 
 3.500000 	 0.068457 	 0.136902 
 4.000000 	 0.066083 	 0.132154 
 4.500000 	 0.063568 	 0.127123 
 5.000000 	 0.060894 	 0.121775 
 5.500000 	 0.058039 	 0.116067 
 6.000000 	 0.054976 	 0.109940 
 6.500000 	 0.051667 	 0.103323 
 7.000000 	 0.048061 	 0.096112 
 7.500000 	 0.044086 	 0.088163 
 8.000000 	 0.039631 	 0.079254 
 8.500000 	 0.034510 	 0.069014 
 9.000000 	 0.028365 	 0.056726 
 9.500000 	 0.020285 	 0.040571 
 9.514500 	 0.020000 	 0.040000 
