#
#
0.0011	1.50204285	5.001162602 superm36.dat superm36.dat superm36.dat superm36.dat		
2.5690	3.970157769	7.155578774 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
2.5946	3.986051479	7.172666609 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
3.6209	4.563627651	7.810357811 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
4.6209	5.038765404	8.355645172 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
4.6219	5.039205913	8.356158035 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
5.6219	5.45069001	8.840360486 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
6.6219	5.812113093	9.273108287 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
6.6269	5.813810648	9.275155197 superm3.dat	 superm3.dat  superm3.dat  superm3.dat				
7.6269	6.133841702	9.66315657  superm25.dat superm25.dat superm25.dat superm25.dat		
7.6319	6.135349589	9.664994008 superm25.dat superm25.dat superm25.dat superm25.dat		
8.6319	6.420211607	10.01347728 superm25.dat superm25.dat superm25.dat superm25.dat		
9.6319	6.674573489	10.32663124 superm25.dat superm25.dat superm25.dat superm25.dat		
9.6329	6.674813785	10.32692782 superm25.dat superm25.dat superm25.dat superm25.dat		
10.6329	6.902022829	10.607851   superm25.dat superm25.dat superm25.dat superm25.dat		
11.6329	7.104710472	10.85907616 superm25.dat superm25.dat superm25.dat superm25.dat		
11.6349	7.105092723	10.85955027 superm25.dat superm25.dat superm25.dat superm25.dat		
12.6349	7.285262827	11.08304361 superm25.dat superm25.dat superm25.dat superm25.dat		
13.6349	7.444593877	11.28050736 superm25.dat superm25.dat superm25.dat superm25.dat		
13.6359	7.44474324	11.28069227 superm25.dat superm25.dat superm25.dat superm25.dat		
14.6359	7.584529737	11.45344875 superm25.dat superm25.dat superm25.dat superm25.dat		
15.6359	7.705854427	11.60262581 superm25.dat superm25.dat superm25.dat superm25.dat		
15.6509	7.707538381	11.6046888  superm25.dat superm25.dat superm25.dat superm25.dat		
16.1509	7.761422835	11.67055475 superm25.dat superm25.dat superm25.dat superm25.dat		
17.1509	7.856361513	11.78566571 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
17.1519	7.856448049	11.7857699  superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
17.9019	7.91671282	11.85785755 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
18.6519	7.967851145	11.91799819 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
18.6539	7.967975476	11.91814276 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
19.2539	8.002414759	11.9577508  superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
20.2539	8.047278585	12.00722727 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
20.2549	8.04731568	12.00726647 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
21.2549	8.076713824	12.03626313 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
22.3549	8.091405248	12.04470226 superm2.dat	 superm2.dat  superm2.dat  superm2.dat				
