#on/off	y1	z1	y2	z2	y3	z3	y4	z4	X	Y	Z	H/¡	V/¡	h/¡	v/¡	d	m up	m down	wall								numbers
2	-4.0451	-50.0000	4.0464	-50.0000	4.0438	50.0000	-4.0451	50.0000	50.0000	0.0000	6.0189	0.0000	-90.0039	0.0000	0.0000	0.0100	3.0	3.0	top								
2	-4.0451	-50.0000	4.0464	-50.0000	4.0438	50.0000	-4.0451	50.0000	50.0000	0.0000	-6.0189	0.0000	-89.9961	0.0000	0.0000	0.0100	3.0	3.0	bottom								
2	-50.0000	-6.0224	50.0000	-6.0155	50.0000	6.0155	-50.0000	6.0224	50.0000	4.0451	0.0000	-90.0015	0.0000	0.0000	0.0000	0.0100	3.0	3.0	left								
2	-50.0000	-6.0224	50.0000	-6.0155	50.0000	6.0155	-50.0000	6.0224	50.0000	-4.0451	0.0000	-89.9985	0.0000	0.0000	0.0000	0.0100	3.0	3.0	right								
2	-1.0500	-50.0000	1.0500	-50.0000	1.0500	50.0000	-1.0500	50.0000	50.0000	0.0000	2.4500	0.0000	-90.0000	0.0000	0.0000	0.0100	0.0	0.0	top								
2	-1.0500	-50.0000	1.0500	-50.0000	1.0500	50.0000	-1.0500	50.0000	50.0000	0.0000	-2.4500	0.0000	-90.0000	0.0000	0.0000	0.0100	0.0	0.0	bottom								
2	-50.0000	-2.4500	50.0000	-2.4500	50.0000	2.4500	-50.0000	2.4500	50.0000	1.0500	0.0000	-90.0000	0.0000	0.0000	0.0000	0.0100	0.0	0.0	left								
2	-50.0000	-2.4500	50.0000	-2.4500	50.0000	2.4500	-50.0000	2.4500	50.0000	-1.0500	0.0000	-90.0000	0.0000	0.0000	0.0000	0.0100	0.0	0.0	right								
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
