ltot		l1		l2		l3		dtof	dlambda		dtof1ord	dMterm	dSterm	dXterm	dDterm
 5380.648954    4999.593737     202.712584     178.342633   3.509341e-004   -7.189273e-004   2.777708e-009   0.000000e+000   1.116552e-009   9.713274e-010   6.898291e-010
 5377.279087    4999.476760     200.450458     177.351870   -2.177237e-003   2.964253e-003   -1.108900e-009   0.000000e+000   4.556867e-011   -1.363365e-009   2.088958e-010
 5384.409562    4998.757491     201.918959     183.733111   2.657503e-003   -4.861555e-003   -9.622581e-010   0.000000e+000   3.318207e-010   -1.337159e-009   4.308050e-011
 5378.877660    5001.035414     199.482450     178.359797   3.699838e-003   1.560517e-003   -1.611121e-009   0.000000e+000   3.119171e-010   -1.104994e-009   -8.180443e-010
 5386.174993    5003.609772     200.042317     182.522904   -3.242435e-003   -7.317200e-003   3.197971e-009   0.000000e+000   2.304102e-009   1.075955e-009   -1.820854e-010
 5385.272773    5001.869387     201.698055     181.705331   -9.019451e-003   -6.708323e-003   3.193784e-009   0.000000e+000   2.236444e-009   2.121596e-010   7.451804e-010
 5387.900391    5004.532901     198.557956     184.809534   4.476089e-003   -8.725503e-003   1.125681e-009   0.000000e+000   1.834568e-009   -8.902310e-010   1.813437e-010
 5375.458693    4997.256405     199.034615     179.167672   -8.767042e-003   4.571357e-003   -2.037455e-009   0.000000e+000   -2.488583e-009   1.051210e-009   -6.000816e-010
 5382.548761    4999.115978     202.220604     181.212179   -3.761517e-003   -3.200346e-003   8.575582e-010   0.000000e+000   8.422522e-010   -9.659942e-010   9.813002e-010
 5386.344187    5001.705102     201.556591     183.082494   -5.202827e-003   -7.654912e-003   2.522532e-009   0.000000e+000   1.968143e-009   -2.794903e-010   8.338785e-010
 5378.837233    4998.097647     199.990282     180.749304   -1.016654e-002   5.870920e-004   -2.577478e-009   0.000000e+000   -1.117463e-009   -1.962069e-010   -1.263808e-009
 5380.400071    4996.250255     202.305602     181.844214   -5.782822e-003   -8.843289e-004   -1.356757e-010   0.000000e+000   -1.263320e-009   1.499809e-009   -3.721647e-010
 5383.654176    5005.288205     196.846225     181.519746   4.204802e-003   -3.882153e-003   3.038165e-010   0.000000e+000   1.734571e-009   -4.067246e-010   -1.024030e-009
 5382.780844    4997.260679     204.260066     181.260099   -3.737036e-003   -3.464637e-003   3.638547e-010   0.000000e+000   4.920268e-010   7.440655e-010   -8.722376e-010
 5384.976550    5003.086581     200.168243     181.721726   -2.552393e-002   -7.581515e-003   4.637630e-009   0.000000e+000   1.985907e-009   8.346082e-010   1.817115e-009
 5379.982372    5001.972617     200.423223     177.586533   -5.166462e-003   -3.596707e-004   6.379827e-010   0.000000e+000   1.690254e-009   -7.894159e-010   -2.628551e-010
 5379.828041    5001.115102     199.264173     179.448766   -2.164486e-003   3.820237e-005   5.614686e-010   0.000000e+000   1.583539e-010   -3.764202e-010   7.795349e-010
 5379.440335    4996.797983     203.390454     179.251899   6.570197e-004   6.907235e-004   -7.739471e-010   0.000000e+000   -9.302004e-011   -1.236813e-009   5.558864e-010
 5382.376780    5004.405452     198.823361     179.147967   -1.420792e-002   -3.770956e-003   2.638458e-009   0.000000e+000   2.227030e-009   3.266568e-011   3.787628e-010
 5382.244192    4999.193148     199.061278     183.989766   -7.061775e-004   -2.626539e-003   6.368586e-010   0.000000e+000   -1.240992e-009   1.512536e-009   3.653144e-010
 5380.357174    4997.797902     201.465803     181.093470   1.923514e-003   -2.684786e-004   9.879965e-010   0.000000e+000   -7.758751e-010   1.560452e-009   2.034192e-010
 5375.023336    4996.910150     200.231308     177.881879   -1.758623e-002   4.422763e-003   -3.229719e-009   0.000000e+000   -1.922173e-009   7.007975e-011   -1.377626e-009
 5380.647834    5001.661432     202.660764     176.325639   4.730649e-003   -3.956310e-004   7.319180e-010   0.000000e+000   2.585057e-009   -5.097632e-010   -1.343376e-009
 5381.167436    5003.205496     199.458562     178.503378   4.815104e-003   -9.856123e-004   -8.042526e-010   0.000000e+000   1.823420e-009   -1.758854e-009   -8.688180e-010
 5381.933306    4994.157486     204.072204     183.703615   -1.058345e-002   -2.996046e-003   -1.905584e-009   0.000000e+000   -1.465944e-009   -5.781951e-010   1.385554e-010
 5376.265612    5001.922124     196.855216     177.488272   -1.266895e-004   4.279694e-003   -2.520402e-009   0.000000e+000   -6.043581e-010   -7.195558e-010   -1.196488e-009
 5383.202979    5002.145209     201.927562     179.130207   -7.890652e-003   -4.253814e-003   1.432363e-009   0.000000e+000   2.521420e-009   -1.541385e-009   4.523280e-010
 5377.587028    4997.213763     200.920044     179.453221   -1.218574e-002   1.874217e-003   -4.084993e-009   0.000000e+000   -1.053675e-009   -1.618290e-009   -1.413027e-009
