# Temp.:  50.0 K  ESS  SPSS coupled 
#
# time   in [ms],    flux values in [n/(cm²s*str*Ang)]
# lambda in [Ang]
             2           4           6           8          10
  0.000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
  0.020 7.1408e+014 1.5567e+014 3.6892e+013 9.9034e+012 3.4870e+012
  0.040 4.0395e+014 1.4670e+014 4.2642e+013 1.1687e+013 4.1220e+012
  0.060 2.4909e+014 1.1592e+014 4.1112e+013 1.1474e+013 4.0600e+012
  0.080 1.7541e+014 8.7933e+013 3.8144e+013 1.0807e+013 3.8381e+012
  0.100 1.3854e+014 6.6046e+013 3.5122e+013 1.0072e+013 3.5900e+012
  0.120 1.1825e+014 4.9572e+013 3.2339e+013 9.3631e+012 3.3484e+012
  0.140 1.0550e+014 3.7288e+013 2.9826e+013 8.7015e+012 3.1208e+012
  0.160 9.6313e+013 2.8131e+013 2.7559e+013 8.0885e+012 2.9082e+012
  0.180 8.8922e+013 2.1288e+013 2.5507e+013 7.5215e+012 2.7101e+012
  0.200 8.2542e+013 1.6154e+013 2.3640e+013 6.9967e+012 2.5257e+012
  0.220 7.6814e+013 1.2290e+013 2.1935e+013 6.5107e+012 2.3540e+012
  0.240 7.1569e+013 9.3720e+012 2.0372e+013 6.0602e+012 2.1941e+012
  0.260 6.6719e+013 7.1608e+012 1.8936e+013 5.6424e+012 2.0451e+012
  0.280 6.2214e+013 5.4809e+012 1.7612e+013 5.2545e+012 1.9064e+012
  0.300 5.8020e+013 4.2015e+012 1.6389e+013 4.8942e+012 1.7772e+012
  0.320 5.4112e+013 3.2250e+012 1.5257e+013 4.5595e+012 1.6568e+012
  0.340 5.0468e+013 2.4783e+012 1.4209e+013 4.2482e+012 1.5446e+012
  0.360 4.7070e+013 1.9064e+012 1.3236e+013 3.9588e+012 1.4401e+012
  0.380 4.3902e+013 1.4677e+012 1.2333e+013 3.6894e+012 1.3427e+012
  0.400 4.0946e+013 1.1308e+012 1.1493e+013 3.4388e+012 1.2520e+012
  0.420 3.8190e+013 8.7178e+011 1.0713e+013 3.2054e+012 1.1674e+012
  0.440 3.5619e+013 6.7245e+011 9.9863e+012 2.9881e+012 1.0885e+012
  0.460 3.3222e+013 5.1894e+011 9.3100e+012 2.7858e+012 1.0150e+012
  0.480 3.0985e+013 4.0063e+011 8.6803e+012 2.5972e+012 9.4647e+011
  0.500 2.8900e+013 3.0940e+011 8.0936e+012 2.4216e+012 8.8259e+011
  0.520 2.6954e+013 2.3902e+011 7.5471e+012 2.2579e+012 8.2304e+011
  0.540 2.5140e+013 1.8469e+011 7.0377e+012 2.1054e+012 7.6752e+011
  0.560 2.3448e+013 1.4274e+011 6.5630e+012 1.9632e+012 7.1575e+011
  0.580 2.1869e+013 1.1034e+011 6.1204e+012 1.8307e+012 6.6748e+011
  0.600 2.0397e+013 8.5307e+010 5.7079e+012 1.7072e+012 6.2248e+011
  0.620 1.9024e+013 6.5962e+010 5.3232e+012 1.5921e+012 5.8052e+011
  0.640 1.7744e+013 5.1010e+010 4.9645e+012 1.4847e+012 5.4139e+011
  0.660 1.6549e+013 3.9451e+010 4.6301e+012 1.3846e+012 5.0490e+011
  0.680 1.5435e+013 3.0513e+010 4.3182e+012 1.2913e+012 4.7088e+011
  0.700 1.4396e+013 2.3602e+010 4.0274e+012 1.2043e+012 4.3915e+011
  0.720 1.3427e+013 1.8258e+010 3.7562e+012 1.1231e+012 4.0956e+011
  0.740 1.2523e+013 1.4124e+010 3.5033e+012 1.0474e+012 3.8197e+011
  0.760 1.1680e+013 1.0927e+010 3.2674e+012 9.7688e+011 3.5624e+011
  0.780 1.0894e+013 8.4537e+009 3.0474e+012 9.1108e+011 3.3224e+011
  0.800 1.0161e+013 6.5405e+009 2.8422e+012 8.4971e+011 3.0986e+011 

