# 1D Monitor intensity
# x-axis:100 bins: lambda [Ang]
# Date: 2024-06-01  Time: 16:20:09
# Total intensity:  1.671e+13 n/s   Trajectories:    1000000
# Within binning :  1.671e+13 n/s   Trajectories:    1000000  (incl. filters and eval. time)
# Bunches: 1 of 1 written
# Data x        F(x)       DeltaF(x)    events
    0.1000   0.00000e+00  0.00000e+00        0
    0.3000   0.00000e+00  0.00000e+00        0
    0.5000   0.00000e+00  0.00000e+00        0
    0.7000   0.00000e+00  0.00000e+00        0
    0.9000   0.00000e+00  0.00000e+00        0
    1.1000   1.32917e+12  8.90635e+09    22272
    1.3000   1.50357e+12  1.01144e+10    22099
    1.5000   1.37745e+12  9.28996e+09    21985
    1.7000   1.22762e+12  8.22908e+09    22255
    1.9000   1.06552e+12  7.14023e+09    22269
    2.1000   9.12296e+11  6.12293e+09    22200
    2.3000   7.97825e+11  5.34563e+09    22275
    2.5000   7.18639e+11  4.83628e+09    22080
    2.7000   6.64484e+11  4.46415e+09    22156
    2.9000   6.12301e+11  4.13123e+09    21967
    3.1000   5.73895e+11  3.85852e+09    22122
    3.3000   5.29738e+11  3.58250e+09    21865
    3.5000   5.01837e+11  3.36986e+09    22177
    3.7000   4.73990e+11  3.15825e+09    22524
    3.9000   4.31223e+11  2.89457e+09    22194
    4.1000   3.99593e+11  2.67924e+09    22244
    4.3000   3.68901e+11  2.47423e+09    22230
    4.5000   3.42340e+11  2.28960e+09    22356
    4.7000   3.05918e+11  2.05918e+09    22071
    4.9000   2.77661e+11  1.85831e+09    22325
    5.1000   2.47478e+11  1.66213e+09    22169
    5.3000   2.19556e+11  1.48284e+09    21923
    5.5000   2.02259e+11  1.34852e+09    22496
    5.7000   1.79991e+11  1.20507e+09    22309
    5.9000   1.61211e+11  1.08027e+09    22270
    6.1000   1.45146e+11  9.71232e+08    22334
    6.3000   1.30610e+11  8.74319e+08    22316
    6.5000   1.17751e+11  7.87955e+08    22332
    6.7000   1.05968e+11  7.09692e+08    22295
    6.9000   9.38396e+10  6.34052e+08    21904
    7.1000   8.74797e+10  5.81199e+08    22655
    7.3000   7.82831e+10  5.21876e+08    22501
    7.5000   6.97535e+10  4.67587e+08    22254
    7.7000   6.26947e+10  4.20959e+08    22181
    7.9000   5.65709e+10  3.79662e+08    22202
    8.1000   5.03462e+10  3.39976e+08    21930
    8.3000   4.59763e+10  3.08372e+08    22229
    8.5000   4.17317e+10  2.79006e+08    22372
    8.7000   3.73914e+10  2.50667e+08    22251
    8.9000   3.35585e+10  2.25453e+08    22156
    9.1000   2.99315e+10  2.02162e+08    21921
    9.3000   2.74647e+10  1.83847e+08    22317
    9.5000   2.48356e+10  1.65999e+08    22384
    9.7000   2.28019e+10  1.52505e+08    22355
    9.9000   2.10846e+10  1.41263e+08    22278
   10.1000   0.00000e+00  0.00000e+00        0
   10.3000   0.00000e+00  0.00000e+00        0
   10.5000   0.00000e+00  0.00000e+00        0
   10.7000   0.00000e+00  0.00000e+00        0
   10.9000   0.00000e+00  0.00000e+00        0
   11.1000   0.00000e+00  0.00000e+00        0
   11.3000   0.00000e+00  0.00000e+00        0
   11.5000   0.00000e+00  0.00000e+00        0
   11.7000   0.00000e+00  0.00000e+00        0
   11.9000   0.00000e+00  0.00000e+00        0
   12.1000   0.00000e+00  0.00000e+00        0
   12.3000   0.00000e+00  0.00000e+00        0
   12.5000   0.00000e+00  0.00000e+00        0
   12.7000   0.00000e+00  0.00000e+00        0
   12.9000   0.00000e+00  0.00000e+00        0
   13.1000   0.00000e+00  0.00000e+00        0
   13.3000   0.00000e+00  0.00000e+00        0
   13.5000   0.00000e+00  0.00000e+00        0
   13.7000   0.00000e+00  0.00000e+00        0
   13.9000   0.00000e+00  0.00000e+00        0
   14.1000   0.00000e+00  0.00000e+00        0
   14.3000   0.00000e+00  0.00000e+00        0
   14.5000   0.00000e+00  0.00000e+00        0
   14.7000   0.00000e+00  0.00000e+00        0
   14.9000   0.00000e+00  0.00000e+00        0
   15.1000   0.00000e+00  0.00000e+00        0
   15.3000   0.00000e+00  0.00000e+00        0
   15.5000   0.00000e+00  0.00000e+00        0
   15.7000   0.00000e+00  0.00000e+00        0
   15.9000   0.00000e+00  0.00000e+00        0
   16.1000   0.00000e+00  0.00000e+00        0
   16.3000   0.00000e+00  0.00000e+00        0
   16.5000   0.00000e+00  0.00000e+00        0
   16.7000   0.00000e+00  0.00000e+00        0
   16.9000   0.00000e+00  0.00000e+00        0
   17.1000   0.00000e+00  0.00000e+00        0
   17.3000   0.00000e+00  0.00000e+00        0
   17.5000   0.00000e+00  0.00000e+00        0
   17.7000   0.00000e+00  0.00000e+00        0
   17.9000   0.00000e+00  0.00000e+00        0
   18.1000   0.00000e+00  0.00000e+00        0
   18.3000   0.00000e+00  0.00000e+00        0
   18.5000   0.00000e+00  0.00000e+00        0
   18.7000   0.00000e+00  0.00000e+00        0
   18.9000   0.00000e+00  0.00000e+00        0
   19.1000   0.00000e+00  0.00000e+00        0
   19.3000   0.00000e+00  0.00000e+00        0
   19.5000   0.00000e+00  0.00000e+00        0
   19.7000   0.00000e+00  0.00000e+00        0
   19.9000   0.00000e+00  0.00000e+00        0
