# -------------------------
# ILL thermal source (2011)
# -------------------------
#
#lambda	brilliance
# [Å]   [n/(s cm² str Å)] 
#
0.35000	1.6400e+12
0.40000	2.4500e+12
0.45000	3.4600e+12
0.50000	4.7600e+12
0.60000	7.9400e+12
0.70000	1.2300e+13
0.80000	1.7600e+13
0.90000	2.3600e+13
1.0000	2.7500e+13
1.1000	3.0000e+13
1.2000	3.1100e+13
1.3000	3.0800e+13
1.4000	2.8500e+13
1.5000	2.5800e+13
1.6000	2.2400e+13
1.7000	1.9700e+13
1.8000	1.6500e+13
1.9000	1.3600e+13
2.0000	1.1200e+13
2.1000	9.5000e+12
2.2000	8.1500e+12
2.3000	6.9000e+12
2.4000	5.8500e+12
2.5000	5.0100e+12
2.6000	4.2400e+12
2.8000	2.8800e+12
3.0000	2.0700e+12
3.2000	1.5400e+12
3.4000	1.1400e+12
3.6000	8.6900e+11
3.8000	6.6400e+11
4.0000	5.1500e+11
4.2000	4.0800e+11
4.5000	2.8700e+11
5.0000	1.7100e+11
5.5000	1.0600e+11
6.0000	6.9700e+10
6.5000	4.5400e+10
7.0000	3.0600e+10
7.5000	2.1200e+10
8.0000	1.5100e+10
8.5000	1.0900e+10
