#  pos    flux_thml    flux_cold 
# [cm]  [n/s cm str] [n/s cm str]
# -------------------------------
-14.50    17.0E+12      5.0E+12  
-12.60    18.5E+12      6.5E+12  
-11.90     8.5E+12     18.0E+12  
 -8.10     7.0E+12     39.5E+12  
 -7.75     7.0E+12     39.5E+12  
 -7.25    20.0E+12      5.0E+12  
 -2.45    27.0E+12      7.0E+12  
 -1.80    20.5E+12      5.0E+12  
 -0.15    22.0E+12      8.0E+12  
  0.50     8.0E+12     48.0E+12  
  0.95    12.5E+12     25.0E+12  
  1.15    12.0E+12     67.0E+12  
  1.80     7.0E+12     65.0E+12  
  2.95     6.5E+12     61.0E+12  
  3.50     6.5E+12     48.5E+12  
  4.10     7.0E+12     51.0E+12  
  8.25     8.0E+12     47.0E+12  
  8.65    20.0E+12      9.0E+12  
  9.60    19.5E+12      6.0E+12  

