#  pos    flux_thml    flux_cold 
# [cm]  [n/s cm str] [n/s cm str]
# -------------------------------
 -9.80    20.0E+12      6.0E+12
 -8.20    22.0E+12      7.5E+12
 -7.30    15.0E+12     16.0E+12
 -7.00     7.3E+12     11.0E+12
 -6.85     9.0E+12     10.0E+12
 -6.70     9.0E+12     50.5E+12  
 -5.00     6.0E+12     50.5E+12  
 -0.20     7.5E+12     50.5E+12
  0.50    20.0E+12      9.0E+12
  1.00    20.0E+12      6.0E+12
  5.40    28.0E+12     	6.5E+12    
  9.60    20.5E+12      5.0E+12
 10.40    16.0E+12      8.0E+12
 11.20     8.0E+12     50.0E+12  
 15.50     6.0E+12     50.0E+12  
 16.60     7.5E+12     53.0E+12
 17.20    10.0E+12     10.5E+12
 17.80     7.5E+12     16.0E+12
 18.50    22.0E+12     10.0E+12
 18.80    22.0E+12      6.5E+12  
 20.00    21.5E+12     	6.0E+12    

