#  pos    flux_thml    flux_cold 
# [cm]  [n/s cm str] [n/s cm str]
# -------------------------------
-11.50    16.0E+12      4.5E+12  
-10.00    17.0E+12      5.0E+12  
 -9.60    10.0E+12     15.0E+12  
 -6.20     7.0E+12     32.0E+12  
 -5.80    20.0E+12      5.0E+12  
 -2.20    26.5E+12      6.0E+12  
 -1.80    21.0E+12      5.5E+12  
 -0.60    21.5E+12      6.5E+12    
  0.40    22.0E+12     12.0E+12  
  0.80    10.0E+12     26.0E+12
  2.40     7.0E+12     60.0E+12  
  5.20     7.0E+12     60.0E+12  
  7.40     7.0E+12     48.0E+12  
  8.00    18.0E+12      5.5E+12  
  8.60    15.5E+12      4.0E+12  

