# ----------------------
# ILL cold source (2011)
# ----------------------
#
#lambda	brilliance
# [Å]   [n/(s cm² str Å)] 
#
1.0000	1.2700e+13
1.1000	1.5200e+13
1.2000	1.7400e+13
1.3000	1.8200e+13
1.4000	1.8300e+13
1.5000	1.7900e+13
1.6000	1.7000e+13
1.7000	1.5900e+13
1.8000	1.4500e+13
1.9000	1.3200e+13
2.0000	1.2200e+13
2.1000	1.1500e+13
2.2000	1.0900e+13
2.3000	1.0300e+13
2.4000	9.7200e+12
2.5000	9.1200e+12
2.6000	8.5700e+12
2.8000	7.6800e+12
3.0000	7.0000e+12
3.2000	6.4000e+12
3.4000	5.8700e+12
3.6000	5.3900e+12
3.8000	4.9400e+12
4.0000	4.5300e+12
4.2000	4.1200e+12
4.5000	3.5000e+12
5.0000	2.7300e+12
5.5000	2.1300e+12
6.0000	1.6200e+12
6.5000	1.2300e+12
7.0000	9.4700e+11
7.5000	7.2000e+11
8.0000	5.5800e+11
8.5000	4.2800e+11
9.0000	3.2800e+11
9.5000	2.4900e+11
10.000	1.8900e+11
11.000	1.1000e+11
12.000	7.0600e+10
13.000	4.8800e+10
14.000	3.4900e+10
15.000	2.4900e+10
16.000	1.7900e+10
18.000	9.9300e+09
20.000	6.1200e+09
22.000	3.8800e+09
25.000	2.0100e+09
30.000	7.9200e+08
35.000	3.6000e+08
40.000	1.7400e+08
45.000	9.3300e+07
50.000	5.3600e+07
