# --------------------------------
# ILL thermal source (Yellow Book)
# --------------------------------
#
#lambda	brilliance
# [Å]   [n/(s cm² str Å)] 
0.2000      2.9000e+12
0.2500      1.9000e+12
0.3000      1.6900e+12
0.3500      1.8700e+12
0.4000      2.5200e+12
0.4500      4.3700e+12
0.5000      7.8600e+12
0.6000      1.9800e+13
0.7000      3.4800e+13
0.8000      5.0000e+13
0.9000      6.6800e+13
1.0000      7.8400e+13
1.1000      8.0400e+13
1.2000      7.9000e+13
1.3000      7.6500e+13
1.4000      7.1900e+13
1.5000      6.4200e+13
1.6000      5.5300e+13
1.7000      4.7500e+13
1.8000      4.0200e+13
1.9000      3.4000e+13
2.0000      2.7400e+13
2.1000      2.3000e+13
2.2000      1.9800e+13
2.3000      1.6600e+13
2.4000      1.4000e+13
2.5000      1.1700e+13
2.6000      1.0100e+13
2.8000      7.4800e+12
3.0000      5.4700e+12
3.2000      3.9900e+12
3.4000      2.9700e+12
3.6000      2.2400e+12
3.8000      1.7000e+12
4.0000      1.3100e+12
4.2000      1.0400e+12


